epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,99.3153,0.78919,2.60754,1.18782,0.45562,0.5338,0.34789,0.26135,0.73123,2.0864,1.21499,0.00331989,0.00331989,0.00331989
2,195.625,0.76691,1.75579,1.10985,0.63643,0.28112,0.32784,0.18776,1.18373,2.73913,1.47345,0.00664005,0.00664005,0.00664005
3,290.657,0.83414,1.55549,1.11978,0.6934,0.59867,0.61072,0.41974,0.85919,1.4457,1.12872,0.00994701,0.00994701,0.00994701
4,384.93,0.83328,1.34148,1.10377,0.69801,0.62022,0.58335,0.45062,0.73895,1.32306,1.0128,0.0099406,0.0099406,0.0099406
5,479.487,0.78048,1.13813,1.07744,0.82098,0.64752,0.69075,0.54434,0.69966,1.10014,1.05613,0.0099208,0.0099208,0.0099208
6,573.471,0.75097,1.04405,1.06264,0.67851,0.49834,0.47099,0.33901,0.78384,1.57174,1.1927,0.009901,0.009901,0.009901
7,668.187,0.72601,0.96677,1.04294,0.66926,0.5213,0.53924,0.40912,0.77378,2.15823,1.02779,0.0098812,0.0098812,0.0098812
8,762.625,0.68343,0.90168,1.02251,0.64093,0.59748,0.57755,0.42589,0.76653,1.41864,1.18178,0.0098614,0.0098614,0.0098614
9,856.812,0.66333,0.8466,1.01153,0.90157,0.64042,0.7316,0.56103,0.71811,0.71655,1.09874,0.0098416,0.0098416,0.0098416
10,951.684,0.65675,0.7994,1.00377,0.87115,0.64191,0.71473,0.34079,1.44951,1.23736,1.31441,0.0098218,0.0098218,0.0098218
11,1045.83,0.63621,0.78084,1.00346,0.61063,0.47242,0.43532,0.36578,0.68344,1.81303,0.96612,0.009802,0.009802,0.009802
12,1140.42,0.61329,0.75695,0.9937,0.91678,0.33457,0.46219,0.27588,1.26039,2.04453,1.20273,0.0097822,0.0097822,0.0097822
13,1234.92,0.59668,0.72402,0.98544,0.82468,0.6602,0.70296,0.54371,0.69232,0.77163,0.9784,0.0097624,0.0097624,0.0097624
14,1328.8,0.59856,0.70597,0.98736,0.66802,0.63693,0.61349,0.41573,0.92272,1.04248,1.21002,0.0097426,0.0097426,0.0097426
15,1423.3,0.57726,0.70089,0.98302,0.92542,0.69675,0.75547,0.61904,0.63243,0.59448,0.95315,0.0097228,0.0097228,0.0097228
16,1517.72,0.59356,0.68508,0.9831,0.88351,0.67421,0.72843,0.56611,0.8011,0.64032,1.06283,0.009703,0.009703,0.009703
17,1612.15,0.58864,0.66704,0.98904,0.8503,0.60907,0.68702,0.55232,0.61342,0.84539,1.02268,0.0096832,0.0096832,0.0096832
18,1706.74,0.57361,0.66112,0.98126,0.86271,0.68014,0.72312,0.57996,0.78419,0.68495,1.03991,0.0096634,0.0096634,0.0096634
19,1800.42,0.56614,0.62717,0.97296,0.92312,0.72886,0.76632,0.64652,0.53347,0.50922,0.92428,0.0096436,0.0096436,0.0096436
