epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3841.08,0.51098,0.47725,0.95905,0.88774,0.68886,0.72999,0.58417,0.62129,0.61781,0.96079,0.0091882,0.0091882,0.0091882
43,3932.69,0.48856,0.47869,0.94442,0.89056,0.63184,0.72374,0.56985,0.6497,0.65356,1.20323,0.0091684,0.0091684,0.0091684
44,4024.82,0.48775,0.46235,0.94676,0.96105,0.7624,0.7887,0.71097,0.39522,0.33874,0.86195,0.0091486,0.0091486,0.0091486
45,4116.68,0.48658,0.46502,0.9426,0.94506,0.73928,0.80459,0.72968,0.40791,0.37997,0.86372,0.0091288,0.0091288,0.0091288
46,4208.25,0.4814,0.45243,0.94505,0.95732,0.76314,0.79138,0.70491,0.44744,0.37845,0.87757,0.009109,0.009109,0.009109
47,4300.1,0.48858,0.46526,0.94506,0.97442,0.77349,0.80857,0.73468,0.41102,0.30083,0.86692,0.0090892,0.0090892,0.0090892
48,4391.88,0.48405,0.44656,0.94307,0.74809,0.83872,0.85039,0.75212,0.48803,0.39434,0.95612,0.0090694,0.0090694,0.0090694
49,4483.53,0.48302,0.44039,0.94655,0.95634,0.73635,0.77411,0.68697,0.42812,0.43193,0.87207,0.0090496,0.0090496,0.0090496
50,4575.67,0.49507,0.451,0.9522,0.97738,0.77521,0.79721,0.72254,0.40071,0.30555,0.85907,0.0090298,0.0090298,0.0090298
51,4667.66,0.4953,0.44705,0.94778,0.97345,0.7722,0.79589,0.72132,0.39468,0.31891,0.85681,0.00901,0.00901,0.00901
52,4759.26,0.47882,0.4367,0.94503,0.97545,0.76571,0.78941,0.71281,0.41962,0.3317,0.87412,0.0089902,0.0089902,0.0089902
53,4851.05,0.47883,0.43979,0.94259,0.9704,0.77555,0.78916,0.71357,0.41146,0.32331,0.86738,0.0089704,0.0089704,0.0089704
54,4942.31,0.47578,0.42338,0.93957,0.83457,0.86153,0.87225,0.80357,0.39596,0.29023,0.86048,0.0089506,0.0089506,0.0089506
55,5034.69,0.4775,0.42739,0.94151,0.95211,0.75863,0.79949,0.72223,0.42068,0.37103,0.88537,0.0089308,0.0089308,0.0089308
56,5126.39,0.47285,0.43886,0.93372,0.95609,0.75768,0.78471,0.70135,0.4217,0.36143,0.88415,0.008911,0.008911,0.008911
57,5217.53,0.47894,0.43343,0.94028,0.86839,0.70401,0.7158,0.62693,0.47425,0.7713,0.93299,0.0088912,0.0088912,0.0088912
58,5309.46,0.47948,0.4334,0.94176,0.96407,0.73845,0.77375,0.68818,0.41212,0.41356,0.86965,0.0088714,0.0088714,0.0088714
59,5401.26,0.48058,0.42246,0.94059,0.80042,0.85969,0.84803,0.78472,0.38081,0.26371,0.85287,0.0088516,0.0088516,0.0088516
60,5493.08,0.47079,0.41768,0.93422,0.96575,0.77674,0.79316,0.71644,0.41836,0.31366,0.86412,0.0088318,0.0088318,0.0088318
61,5584.78,0.47484,0.41689,0.94051,0.74489,0.77367,0.78106,0.69406,0.41763,0.38959,0.87122,0.008812,0.008812,0.008812
62,5676.29,0.46673,0.42061,0.93478,0.90155,0.70675,0.75578,0.59024,0.63016,0.55059,1.14565,0.0087922,0.0087922,0.0087922
63,5768.1,0.47541,0.41435,0.93817,0.92383,0.72493,0.75714,0.60929,0.60719,0.4521,1.15046,0.0087724,0.0087724,0.0087724
64,5859.49,0.46985,0.41417,0.93721,0.92958,0.75406,0.77381,0.65119,0.50654,0.38031,0.99954,0.0087526,0.0087526,0.0087526
65,5950.74,0.46241,0.4231,0.9342,0.82633,0.98469,0.88891,0.82173,0.388,0.27752,0.85675,0.0087328,0.0087328,0.0087328
66,6042.32,0.46603,0.41274,0.93599,0.96334,0.7564,0.78487,0.69908,0.46487,0.37751,0.87618,0.008713,0.008713,0.008713
67,6133.79,0.46519,0.41798,0.93591,0.76091,0.77298,0.78519,0.70961,0.40676,0.35566,0.86617,0.0086932,0.0086932,0.0086932
68,6225.47,0.46928,0.40042,0.93868,0.98707,0.78371,0.80372,0.73297,0.38445,0.26063,0.85924,0.0086734,0.0086734,0.0086734
69,6317.39,0.46563,0.40851,0.93897,0.9791,0.78159,0.8037,0.73265,0.38709,0.26998,0.855,0.0086536,0.0086536,0.0086536
70,6408.18,0.45823,0.39589,0.93729,0.9861,0.78328,0.80022,0.73387,0.39133,0.26446,0.86745,0.0086338,0.0086338,0.0086338
71,6499.54,0.47767,0.41081,0.94295,0.97825,0.77906,0.80161,0.72332,0.38969,0.29146,0.86006,0.008614,0.008614,0.008614
72,6590.73,0.47139,0.39951,0.94016,0.78977,0.78183,0.81489,0.74663,0.39034,0.26692,0.86003,0.0085942,0.0085942,0.0085942
73,6682.46,0.46746,0.41373,0.93885,0.744,0.79095,0.82392,0.75509,0.38234,0.26884,0.85127,0.0085744,0.0085744,0.0085744
74,6773.88,0.45372,0.3918,0.93089,0.98939,0.78758,0.81727,0.75335,0.37542,0.25629,0.85275,0.0085546,0.0085546,0.0085546
75,6865.29,0.45732,0.394,0.93417,0.96752,0.75112,0.79219,0.69215,0.47376,0.35766,0.88358,0.0085348,0.0085348,0.0085348
76,6957.37,0.45747,0.38665,0.93155,0.9836,0.78802,0.80349,0.73468,0.38242,0.25585,0.85413,0.008515,0.008515,0.008515
77,7049.11,0.46728,0.38609,0.93328,0.98929,0.78585,0.80902,0.74478,0.37936,0.25504,0.85509,0.0084952,0.0084952,0.0084952
78,7140.67,0.46011,0.3981,0.93242,0.80149,0.84133,0.82062,0.75191,0.37655,0.27903,0.84858,0.0084754,0.0084754,0.0084754
79,7232.28,0.45655,0.38526,0.93141,0.9859,0.78579,0.81121,0.74704,0.37349,0.24584,0.85038,0.0084556,0.0084556,0.0084556
80,7323.83,0.45402,0.39901,0.92973,0.98533,0.78309,0.80052,0.73261,0.37571,0.25767,0.85045,0.0084358,0.0084358,0.0084358
81,7415.96,0.45687,0.38816,0.92882,0.80466,0.86204,0.82018,0.75249,0.38204,0.24731,0.85153,0.008416,0.008416,0.008416
82,7507.55,0.46171,0.38147,0.9361,0.81177,0.92828,0.83762,0.77347,0.38153,0.2472,0.85376,0.0083962,0.0083962,0.0083962
83,7599.34,0.46239,0.38282,0.93894,0.86802,0.86277,0.86238,0.79683,0.3773,0.22701,0.85395,0.0083764,0.0083764,0.0083764
84,7691.24,0.45647,0.37502,0.93112,0.77859,0.86354,0.81058,0.74481,0.37605,0.24262,0.85392,0.0083566,0.0083566,0.0083566
85,7782.66,0.45235,0.3821,0.93139,0.78741,0.85485,0.81062,0.74003,0.37548,0.26731,0.85538,0.0083368,0.0083368,0.0083368
86,7874.08,0.45609,0.38719,0.92893,0.77552,0.86555,0.82035,0.7543,0.3692,0.21616,0.85116,0.008317,0.008317,0.008317
87,7965.98,0.44751,0.38385,0.92842,0.7916,0.86184,0.81136,0.74477,0.36751,0.23101,0.8503,0.0082972,0.0082972,0.0082972
88,8057.33,0.452,0.37838,0.93236,0.9604,0.76762,0.78759,0.70037,0.41079,0.29957,0.89626,0.0082774,0.0082774,0.0082774
